Fecha publicación,CCAA,Personas Institucionalizadas,Personas institucionalizadas con al menos 1 dosis,Personas institucionalizadas con pauta completa,Porcentaje con al menos 1 dosis sobre población institucionalizada,Porcentaje pauta completa sobre población institucionalizada
2021-03-03,Andalucía,41.651,35.450,33.285,"85,1","79,9"
2021-03-03,Aragón,17.826,17.516,16.352,"98,3","91,7"
2021-03-03,Asturias,11.948,11.378,10.659,"95,2","89,2"
2021-03-03,Baleares,5.496,4.976,4.256,"90,5","77,4"
2021-03-03,Canarias,10.047,10.047,8.460,"100,0","84,2"
2021-03-03,Cantabria,6.573,6.571,5.868,"100,0","89,3"
2021-03-03,Castilla y Leon,48.145,44.709,41.420,"92,9","86,0"
2021-03-03,Castilla La Mancha,23.446,23.172,20.533,"98,8","87,6"
2021-03-03,Cataluña,67.237,67.056,55.307,"99,7","82,3"
2021-03-03,C. Valenciana,28.600,28.165,21.717,"98,5","75,9"
2021-03-03,Extremadura,15.226,14.235,12.846,"93,5","84,4"
2021-03-03,Galicia,22.035,21.835,20.297,"99,1","92,1"
2021-03-03,La Rioja,3.287,3.265,2.803,"99,3","85,3"
2021-03-03,Madrid,45.666,45.041,40.338,"98,6","88,3"
2021-03-03,Murcia,11.885,10.958,9.773,"92,2","82,2"
2021-03-03,Navarra,8.343,7.991,7.581,"95,8","90,9"
2021-03-03,País Vasco,20.513,20.492,18.580,"99,9","90,6"
2021-03-03,Ceuta,210,189,183,"90,0","87,1"
2021-03-03,Melilla,298,290,203,"97,3","68,1"
2021-03-03,España,388.432,373.336,330.461,"96,1","85,1"
2021-03-04,Andalucía,41.651,35.450,33.285,"85,1","79,9"
2021-03-04,Aragón,17.826,17.516,16.352,"98,3","91,7"
2021-03-04,Asturias,11.948,11.378,10.659,"95,2","89,2"
2021-03-04,Baleares,5.496,4.976,4.256,"90,5","77,4"
2021-03-04,Canarias,10.047,10.047,8.460,"100,0","84,2"
2021-03-04,Cantabria,6.573,6.571,5.868,"100,0","89,3"
2021-03-04,Castilla y Leon,48.145,44.709,41.420,"92,9","86,0"
2021-03-04,Castilla La Mancha,23.446,23.172,20.533,"98,8","87,6"
2021-03-04,Cataluña,67.237,67.056,55.307,"99,7","82,3"
2021-03-04,C. Valenciana,28.600,28.165,21.717,"98,5","75,9"
2021-03-04,Extremadura,15.226,14.235,12.846,"93,5","84,4"
2021-03-04,Galicia,22.035,21.835,20.297,"99,1","92,1"
2021-03-04,La Rioja,3.287,3.265,2.803,"99,3","85,3"
2021-03-04,Madrid,45.666,45.041,40.338,"98,6","88,3"
2021-03-04,Murcia,11.885,10.958,9.773,"92,2","82,2"
2021-03-04,Navarra,8.343,7.991,7.581,"95,8","90,9"
2021-03-04,País Vasco,20.513,20.492,18.580,"99,9","90,6"
2021-03-04,Ceuta,210,189,183,"90,0","87,1"
2021-03-04,Melilla,298,290,203,"97,3","68,1"
2021-03-04,España,388.432,373.336,330.461,"96,1","85,1"
2021-03-05,Andalucía,41.651,35.450,33.285,"85,1","79,9"
2021-03-05,Aragón,17.826,17.516,16.352,"98,3","91,7"
2021-03-05,Asturias,11.948,11.378,10.659,"95,2","89,2"
2021-03-05,Baleares,5.496,4.976,4.256,"90,5","77,4"
2021-03-05,Canarias,10.047,10.047,8.460,"100,0","84,2"
2021-03-05,Cantabria,6.573,6.571,5.868,"100,0","89,3"
2021-03-05,Castilla y Leon,48.145,44.709,41.420,"92,9","86,0"
2021-03-05,Castilla La Mancha,23.446,23.172,20.533,"98,8","87,6"
2021-03-05,Cataluña,67.237,67.056,55.307,"99,7","82,3"
2021-03-05,C. Valenciana,28.600,28.165,21.717,"98,5","75,9"
2021-03-05,Extremadura,15.226,14.235,12.846,"93,5","84,4"
2021-03-05,Galicia,22.035,21.835,20.297,"99,1","92,1"
2021-03-05,La Rioja,3.287,3.265,2.803,"99,3","85,3"
2021-03-05,Madrid,45.666,45.041,40.338,"98,6","88,3"
2021-03-05,Murcia,11.885,10.958,9.773,"92,2","82,2"
2021-03-05,Navarra,8.343,7.991,7.581,"95,8","90,9"
2021-03-05,País Vasco,20.513,20.492,18.580,"99,9","90,6"
2021-03-05,Ceuta,210,189,183,"90,0","87,1"
2021-03-05,Melilla,298,290,203,"97,3","68,1"
2021-03-05,España,388.432,373.336,330.461,"96,1","85,1"
2021-03-08,Andalucía,41.651,35.450,33.285,"85,1","79,9"
2021-03-08,Aragón,17.826,17.516,16.352,"98,3","91,7"
2021-03-08,Asturias,11.948,11.378,10.659,"95,2","89,2"
2021-03-08,Baleares,5.496,4.976,4.256,"90,5","77,4"
2021-03-08,Canarias,10.047,10.047,8.460,"100,0","84,2"
2021-03-08,Cantabria,6.573,6.571,5.868,"100,0","89,3"
2021-03-08,Castilla y Leon,48.145,44.709,41.420,"92,9","86,0"
2021-03-08,Castilla La Mancha,23.446,23.172,20.533,"98,8","87,6"
2021-03-08,Cataluña,67.237,67.056,55.307,"99,7","82,3"
2021-03-08,C. Valenciana,28.600,28.165,21.717,"98,5","75,9"
2021-03-08,Extremadura,15.226,14.235,12.846,"93,5","84,4"
2021-03-08,Galicia,22.035,21.835,20.297,"99,1","92,1"
2021-03-08,La Rioja,3.287,3.265,2.803,"99,3","85,3"
2021-03-08,Madrid,45.666,45.041,40.338,"98,6","88,3"
2021-03-08,Murcia,11.885,10.958,9.773,"92,2","82,2"
2021-03-08,Navarra,8.343,7.991,7.581,"95,8","90,9"
2021-03-08,País Vasco,20.513,20.492,18.580,"99,9","90,6"
2021-03-08,Ceuta,210,189,183,"90,0","87,1"
2021-03-08,Melilla,298,290,203,"97,3","68,1"
2021-03-08,España,388.432,373.336,330.461,"96,1","85,1"
2021-03-09,Andalucía,41.651,35.450,33.285,"85,1","79,9"
2021-03-09,Aragón,17.826,17.516,16.352,"98,3","91,7"
2021-03-09,Asturias,11.948,11.378,10.659,"95,2","89,2"
2021-03-09,Baleares,5.496,4.976,4.256,"90,5","77,4"
2021-03-09,Canarias,10.047,10.047,8.460,"100,0","84,2"
2021-03-09,Cantabria,6.573,6.571,5.868,"100,0","89,3"
